,id,back,city,day,death,family,father,film,find,finds,first,friends,get,girl,group,he,help,home,life,lives,love,man,must,never,new,old,one,people,school,story,take,time,town,two,war,way,woman,world,year,years,young,genres,title,revenue,release_date,production_companies
0,27205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Science Fiction, Adventure",Inception,825532764,2010-07-15,"Legendary Pictures, Syncopy, Warner Bros. Pictures"
1,157336,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Drama, Science Fiction",Interstellar,701729206,2014-11-05,"Legendary Pictures, Syncopy, Lynda Obst Productions"
2,155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Drama, Action, Crime, Thriller",The Dark Knight,1004558444,2008-07-16,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures"
3,19995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Action, Adventure, Fantasy, Science Fiction",Avatar,2923706026,2009-12-15,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media"
4,24428,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Science Fiction, Action, Adventure",The Avengers,1518815515,2012-04-25,Marvel Studios
5,293660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action, Adventure, Comedy",Deadpool,783100000,2016-02-09,"20th Century Fox, The Donners' Company, Genre Films"
6,299536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Adventure, Action, Science Fiction",Avengers: Infinity War,2052415039,2018-04-25,Marvel Studios
7,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,Drama,Fight Club,100853753,1999-10-15,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox"
8,118340,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"Action, Science Fiction, Adventure",Guardians of the Galaxy,772776600,2014-07-30,Marvel Studios
9,680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Thriller, Crime",Pulp Fiction,213900000,1994-09-10,"Miramax, A Band Apart, Jersey Films"
10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Comedy, Drama, Romance",Forrest Gump,677387716,1994-06-23,"Paramount, The Steve Tisch Company, Wendy Finerman Productions"
11,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure, Fantasy",Harry Potter and the Philosopher's Stone,976475550,2001-11-16,"Warner Bros. Pictures, Heyday Films, 1492 Pictures"
12,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action, Science Fiction, Adventure",Iron Man,585174222,2008-04-30,Marvel Studios
13,68718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Western",Django Unchained,425368238,2012-12-25,"The Weinstein Company, Columbia Pictures"
14,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Drama, Crime",The Shawshank Redemption,28341469,1994-09-23,Castle Rock Entertainment
15,299534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Adventure, Science Fiction, Action",Avengers: Endgame,2800000000,2019-04-24,Marvel Studios
16,603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Action, Science Fiction",The Matrix,463517383,1999-03-30,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures"
17,597,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,"Drama, Romance",Titanic,2264162353,1997-11-18,"Paramount, 20th Century Fox, Lightstorm Entertainment"
